Nation,Team,AgeGroup_Leq_20,AgeGroup_21_30,AgeGroup_Gt_30
Colombia,Brighton & Hove Albion,0.00%,100.00%,0.00%
Colombia,Everton,0.00%,100.00%,0.00%
Colombia,Liverpool,0.00%,100.00%,0.00%
Colombia,Tottenham Hotspur,0.00%,100.00%,0.00%
Colombia,Watford,0.00%,100.00%,0.00%
Colombia,Wolverhampton Wanderers,100.00%,0.00%,0.00%
Congo DR,Brentford,0.00%,100.00%,0.00%
Congo DR,Watford,0.00%,100.00%,0.00%
Congo DR,West Ham United,0.00%,100.00%,0.00%
Croatia,Chelsea,0.00%,100.00%,0.00%
Croatia,West Ham United,0.00%,100.00%,0.00%
Czech Republic,Burnley,0.00%,100.00%,0.00%
Czech Republic,West Ham United,0.00%,100.00%,0.00%
Denmark,Arsenal,100.00%,0.00%,0.00%
Denmark,Brentford,12.50%,62.50%,25.00%
Denmark,Chelsea,0.00%,100.00%,0.00%
Denmark,Crystal Palace,0.00%,100.00%,0.00%
Denmark,Leicester City,0.00%,50.00%,50.00%
Denmark,Norwich City,0.00%,100.00%,0.00%
Denmark,Tottenham Hotspur,0.00%,100.00%,0.00%
Ecuador,Brighton & Hove Albion,100.00%,0.00%,0.00%
Egypt,Arsenal,0.00%,100.00%,0.00%
Egypt,Aston Villa,0.00%,100.00%,0.00%
Egypt,Liverpool,0.00%,100.00%,0.00%
England,Arsenal,55.56%,44.44%,0.00%
England,Aston Villa,50.00%,45.45%,4.55%
England,Brentford,50.00%,50.00%,0.00%
England,Brighton & Hove Albion,33.33%,58.33%,8.33%
England,Burnley,26.32%,31.58%,42.11%
England,Chelsea,27.27%,72.73%,0.00%
England,Crystal Palace,26.67%,53.33%,20.00%
England,Everton,42.11%,52.63%,5.26%
England,Leeds United,57.14%,42.86%,0.00%
England,Leicester City,33.33%,41.67%,25.00%
England,Liverpool,50.00%,33.33%,16.67%
England,Manchester City,57.14%,28.57%,14.29%
England,Manchester United,25.00%,66.67%,8.33%
England,Newcastle United,12.50%,87.50%,0.00%
England,Norwich City,50.00%,50.00%,0.00%
England,Southampton,28.57%,50.00%,21.43%
England,Tottenham Hotspur,42.86%,57.14%,0.00%
England,Watford,50.00%,8.33%,41.67%
England,West Ham United,27.27%,45.45%,27.27%
England,Wolverhampton Wanderers,25.00%,62.50%,12.50%
Estonia,Arsenal,100.00%,0.00%,0.00%
Finland,Aston Villa,100.00%,0.00%,0.00%
Finland,Brentford,0.00%,100.00%,0.00%
Finland,Norwich City,0.00%,0.00%,100.00%
France,Arsenal,0.00%,100.00%,0.00%
France,Aston Villa,0.00%,100.00%,0.00%
France,Brentford,0.00%,100.00%,0.00%
France,Brighton & Hove Albion,0.00%,100.00%,0.00%
France,Burnley,100.00%,0.00%,0.00%
France,Chelsea,0.00%,100.00%,0.00%
France,Crystal Palace,33.33%,66.67%,0.00%
France,Everton,50.00%,50.00%,0.00%
France,Leeds United,0.00%,100.00%,0.00%
France,Leicester City,50.00%,50.00%,0.00%
France,Liverpool,0.00%,100.00%,0.00%
France,Manchester City,0.00%,100.00%,0.00%
France,Manchester United,0.00%,100.00%,0.00%
France,Newcastle United,0.00%,100.00%,0.00%
France,Norwich City,0.00%,100.00%,0.00%
France,Southampton,0.00%,100.00%,0.00%
France,Tottenham Hotspur,0.00%,33.33%,66.67%
France,Watford,0.00%,0.00%,100.00%
France,West Ham United,25.00%,75.00%,0.00%
France,Wolverhampton Wanderers,100.00%,0.00%,0.00%
Gabon,Arsenal,0.00%,0.00%,100.00%
Germany,Arsenal,0.00%,100.00%,0.00%
Germany,Brentford,0.00%,100.00%,0.00%
Germany,Brighton & Hove Albion,0.00%,100.00%,0.00%
Germany,Chelsea,0.00%,100.00%,0.00%
Germany,Leeds United,0.00%,100.00%,0.00%
Germany,Manchester City,0.00%,100.00%,0.00%
Germany,Norwich City,0.00%,100.00%,0.00%
Ghana,Arsenal,0.00%,100.00%,0.00%
Ghana,Brentford,0.00%,100.00%,0.00%
Ghana,Crystal Palace,0.00%,100.00%,0.00%
Ghana,Leicester City,0.00%,100.00%,0.00%
Ghana,Southampton,0.00%,100.00%,0.00%
Greece,Liverpool,0.00%,100.00%,0.00%
Greece,Norwich City,50.00%,50.00%,0.00%
Grenada,Brentford,0.00%,100.00%,0.00%
Guinea,Brentford,0.00%,100.00%,0.00%
Guinea,Liverpool,0.00%,100.00%,0.00%
Iceland,Brentford,100.00%,0.00%,0.00%
Iceland,Burnley,0.00%,100.00%,0.00%
Iran,Brentford,0.00%,100.00%,0.00%
Ireland,Arsenal,100.00%,0.00%,0.00%
Ireland,Aston Villa,0.00%,100.00%,0.00%
Ireland,Brighton & Hove Albion,33.33%,66.67%,0.00%
Ireland,Burnley,66.67%,33.33%,0.00%
Ireland,Crystal Palace,100.00%,0.00%,0.00%
Ireland,Everton,0.00%,0.00%,100.00%
Ireland,Liverpool,0.00%,100.00%,0.00%
Ireland,Newcastle United,0.00%,50.00%,50.00%
Ireland,Norwich City,100.00%,0.00%,0.00%
Ireland,Southampton,0.00%,50.00%,50.00%
Ireland,Tottenham Hotspur,50.00%,50.00%,0.00%
Ireland,Watford,0.00%,0.00%,100.00%
Ireland,West Ham United,33.33%,33.33%,33.33%
Italy,Chelsea,0.00%,100.00%,0.00%
Italy,Everton,0.00%,100.00%,0.00%
Italy,Tottenham Hotspur,0.00%,100.00%,0.00%
Italy,West Ham United,0.00%,0.00%,100.00%
Ivory Coast,Arsenal,0.00%,100.00%,0.00%
Ivory Coast,Burnley,0.00%,100.00%,0.00%
Ivory Coast,Crystal Palace,0.00%,100.00%,0.00%
Ivory Coast,Everton,0.00%,100.00%,0.00%
Ivory Coast,Manchester United,50.00%,50.00%,0.00%
Ivory Coast,Watford,0.00%,100.00%,0.00%
Ivory Coast,Wolverhampton Wanderers,0.00%,100.00%,0.00%
Jamaica,Aston Villa,0.00%,100.00%,0.00%
Jamaica,Brentford,0.00%,100.00%,0.00%
Jamaica,West Ham United,0.00%,0.00%,100.00%
Japan,Arsenal,0.00%,100.00%,0.00%
Japan,Liverpool,0.00%,100.00%,0.00%
Kosovo,Norwich City,0.00%,100.00%,0.00%
Mali,Brighton & Hove Albion,0.00%,100.00%,0.00%
Mali,Everton,0.00%,100.00%,0.00%
Mali,Southampton,0.00%,100.00%,0.00%
Mexico,Arsenal,100.00%,0.00%,0.00%
Mexico,Wolverhampton Wanderers,0.00%,100.00%,0.00%
Morocco,Chelsea,0.00%,100.00%,0.00%
Morocco,Watford,0.00%,100.00%,0.00%
Morocco,Wolverhampton Wanderers,0.00%,0.00%,100.00%
Netherlands,Arsenal,100.00%,0.00%,0.00%
Netherlands,Aston Villa,50.00%,50.00%,0.00%
Netherlands,Brighton & Hove Albion,0.00%,100.00%,0.00%
Netherlands,Burnley,0.00%,50.00%,50.00%
Netherlands,Crystal Palace,0.00%,100.00%,0.00%
Netherlands,Everton,0.00%,100.00%,0.00%
Netherlands,Leeds United,50.00%,50.00%,0.00%
Netherlands,Liverpool,0.00%,100.00%,0.00%
Netherlands,Manchester City,0.00%,100.00%,0.00%
Netherlands,Manchester United,0.00%,100.00%,0.00%
Netherlands,Norwich City,0.00%,0.00%,100.00%
Netherlands,Tottenham Hotspur,0.00%,100.00%,0.00%
Netherlands,Wolverhampton Wanderers,100.00%,0.00%,0.00%
New Zealand,Burnley,0.00%,100.00%,0.00%
New Zealand,Newcastle United,0.00%,100.00%,0.00%
Nigeria,Brentford,0.00%,100.00%,0.00%
Nigeria,Everton,0.00%,100.00%,0.00%
Nigeria,Leicester City,0.00%,100.00%,0.00%
Nigeria,Watford,0.00%,100.00%,0.00%
Northern Ireland,Everton,100.00%,0.00%,0.00%
Northern Ireland,Leeds United,0.00%,100.00%,0.00%
Northern Ireland,Leicester City,0.00%,0.00%,100.00%
Northern Ireland,Liverpool,100.00%,0.00%,0.00%
Northern Ireland,Newcastle United,0.00%,100.00%,0.00%
Northern Ireland,Norwich City,0.00%,0.00%,100.00%
Northern Ireland,Watford,0.00%,0.00%,100.00%
Norway,Arsenal,0.00%,100.00%,0.00%
Norway,Brentford,0.00%,100.00%,0.00%
Norway,Leeds United,100.00%,0.00%,0.00%
Norway,Norwich City,0.00%,100.00%,0.00%
Norway,Southampton,0.00%,100.00%,0.00%
Norway,Watford,0.00%,100.00%,0.00%
Paraguay,Newcastle United,0.00%,100.00%,0.00%
Poland,Aston Villa,0.00%,100.00%,0.00%
Poland,Brighton & Hove Albion,50.00%,50.00%,0.00%
Poland,Leeds United,0.00%,0.00%,100.00%
Poland,Norwich City,0.00%,100.00%,0.00%
Poland,Southampton,0.00%,100.00%,0.00%
Poland,West Ham United,0.00%,0.00%,100.00%
Portugal,Arsenal,0.00%,100.00%,0.00%
Portugal,Everton,0.00%,100.00%,0.00%
Portugal,Leicester City,0.00%,100.00%,0.00%
Portugal,Liverpool,0.00%,100.00%,0.00%
Portugal,Manchester City,0.00%,100.00%,0.00%
Portugal,Manchester United,0.00%,66.67%,33.33%
Portugal,Wolverhampton Wanderers,9.09%,81.82%,9.09%
Romania,Brighton & Hove Albion,0.00%,100.00%,0.00%
Scotland,Arsenal,0.00%,100.00%,0.00%
Scotland,Aston Villa,0.00%,100.00%,0.00%
Scotland,Brighton & Hove Albion,100.00%,0.00%,0.00%
Scotland,Burnley,0.00%,0.00%,100.00%
Scotland,Crystal Palace,50.00%,0.00%,50.00%
Scotland,Everton,100.00%,0.00%,0.00%
Scotland,Leeds United,66.67%,33.33%,0.00%
Scotland,Leicester City,100.00%,0.00%,0.00%
Scotland,Liverpool,0.00%,100.00%,0.00%
Scotland,Manchester City,100.00%,0.00%,0.00%
Scotland,Manchester United,0.00%,100.00%,0.00%
Scotland,Newcastle United,33.33%,33.33%,33.33%
Scotland,Norwich City,40.00%,60.00%,0.00%
Scotland,Southampton,0.00%,100.00%,0.00%
Scotland,Tottenham Hotspur,100.00%,0.00%,0.00%
Scotland,Watford,100.00%,0.00%,0.00%
Scotland,West Ham United,100.00%,0.00%,0.00%
Senegal,Chelsea,0.00%,100.00%,0.00%
Senegal,Crystal Palace,0.00%,0.00%,100.00%
Senegal,Leicester City,0.00%,100.00%,0.00%
Senegal,Liverpool,0.00%,100.00%,0.00%
Senegal,Watford,0.00%,100.00%,0.00%
Serbia,Crystal Palace,0.00%,100.00%,0.00%
Serbia,Manchester United,0.00%,0.00%,100.00%
Sierra Leone,Watford,100.00%,0.00%,0.00%
Slovakia,Newcastle United,0.00%,0.00%,100.00%
Slovakia,Watford,0.00%,0.00%,100.00%
South Korea,Tottenham Hotspur,0.00%,100.00%,0.00%
South Korea,Wolverhampton Wanderers,0.00%,100.00%,0.00%
Spain,Arsenal,0.00%,100.00%,0.00%
Spain,Brentford,0.00%,100.00%,0.00%
Spain,Brighton & Hove Albion,0.00%,100.00%,0.00%
Spain,Chelsea,0.00%,75.00%,25.00%
Spain,Crystal Palace,0.00%,0.00%,100.00%
Spain,Leeds United,0.00%,100.00%,0.00%
Spain,Leicester City,0.00%,100.00%,0.00%
Spain,Liverpool,0.00%,50.00%,50.00%
Spain,Manchester City,0.00%,100.00%,0.00%
Spain,Manchester United,50.00%,25.00%,25.00%
Spain,Newcastle United,0.00%,100.00%,0.00%
Spain,Southampton,0.00%,100.00%,0.00%
Spain,Tottenham Hotspur,50.00%,50.00%,0.00%
Spain,Watford,0.00%,100.00%,0.00%
Spain,West Ham United,0.00%,100.00%,0.00%
Spain,Wolverhampton Wanderers,33.33%,66.67%,0.00%
Sweden,Aston Villa,0.00%,0.00%,100.00%
Sweden,Brentford,0.00%,100.00%,0.00%
Sweden,Manchester United,50.00%,50.00%,0.00%
Sweden,Newcastle United,0.00%,100.00%,0.00%
Sweden,Tottenham Hotspur,0.00%,100.00%,0.00%
Sweden,Watford,0.00%,100.00%,0.00%
Switzerland,Arsenal,0.00%,100.00%,0.00%
Switzerland,Brighton & Hove Albion,0.00%,100.00%,0.00%
Switzerland,Leicester City,0.00%,0.00%,100.00%
Switzerland,Newcastle United,0.00%,100.00%,0.00%
Switzerland,Wolverhampton Wanderers,100.00%,0.00%,0.00%
Tunisia,Manchester United,100.00%,0.00%,0.00%
Turkey,Brentford,0.00%,100.00%,0.00%
Turkey,Everton,0.00%,100.00%,0.00%
Turkey,Leicester City,0.00%,100.00%,0.00%
Turkey,Norwich City,0.00%,100.00%,0.00%
Turkey,Watford,50.00%,50.00%,0.00%
Ukraine,Everton,0.00%,100.00%,0.00%
Ukraine,Manchester City,0.00%,100.00%,0.00%
Ukraine,West Ham United,0.00%,0.00%,100.00%
United States,Chelsea,0.00%,100.00%,0.00%
United States,Manchester City,0.00%,100.00%,0.00%
United States,Norwich City,50.00%,50.00%,0.00%
Uruguay,Manchester United,0.00%,0.00%,100.00%
Uruguay,Tottenham Hotspur,0.00%,100.00%,0.00%
Venezuela,Everton,0.00%,0.00%,100.00%
Wales,Brentford,100.00%,0.00%,0.00%
Wales,Brighton & Hove Albion,100.00%,0.00%,0.00%
Wales,Burnley,0.00%,50.00%,50.00%
Wales,Everton,0.00%,100.00%,0.00%
Wales,Leeds United,0.00%,100.00%,0.00%
Wales,Leicester City,0.00%,100.00%,0.00%
Wales,Liverpool,66.67%,33.33%,0.00%
Wales,Manchester United,50.00%,50.00%,0.00%
Wales,Newcastle United,0.00%,100.00%,0.00%
Wales,Tottenham Hotspur,0.00%,100.00%,0.00%
Wales,Wolverhampton Wanderers,100.00%,0.00%,0.00%
Zambia,Brighton & Hove Albion,0.00%,100.00%,0.00%
Zambia,Leicester City,0.00%,100.00%,0.00%
Zimbabwe,Aston Villa,0.00%,100.00%,0.00%
